C1, 36.83, 19.05, 180.00, 0.1uF, C0805
C13, 56.77, 62.61, 0.00, 10uF, C0805
C16, 31.88, 50.42, 0.00, 10uF, C0805
C2, 22.86, 19.05, 180.00, 0.1uF, C0805
C3, 8.89, 19.05, 180.00, 0.1uF, C0805
C4, 50.80, 19.05, 180.00, 0.1uF, C0805
C5, 17.65, 44.32, 270.00, 100nF, C0805
C6, 22.86, 54.61, 0.00, 100nF, C0805
J1, 54.48, 66.69, 180.00, 1050170001, MOLEX_1050170001
LED1, 66.55, 62.61, 270.00, 2V, CHIP-LED0805
Q1, 43.18, 38.10, 0.00, , SOT23
Q2, 46.99, 31.75, 270.00, , SOT23
R10, 62.74, 62.61, 180.00, 1kR, R0805
R11, 66.04, 54.61, 90.00, 330R, R0805
R12, 16.89, 59.44, 90.00, 50kR, R0805
R13, 31.88, 53.34, 180.00, 1kR, R0805
R14, 31.88, 58.80, 180.00, 1kR, R0805
R15, 31.88, 56.52, 0.00, 1kR, R0805
R16, 36.96, 44.07, 180.00, 2kR, R0805
R17, 34.16, 35.81, 270.00, 10kR, R0805
R18, 38.10, 38.10, 90.00, 10kR, R0805
R19, 41.91, 31.75, 90.00, 10kR, R0805
R20, 19.69, 65.28, 270.00, 0R, R0805
R21, 17.14, 35.81, 90.00, 10kR, R0805
R3, 11.43, 65.28, 90.00, 1kR, R0805
R4, 13.97, 57.15, 90.00, 1kR, R0805
R5, 13.97, 65.28, 90.00, 1kR, R0805
R6, 11.43, 57.15, 90.00, 1kR, R0805
R7, 29.21, 48.26, 0.00, 2.7kR, R0805
R8, 44.45, 43.18, 90.00, 10kR, R0805
R9, 41.15, 44.07, 180.00, 1kR, R0805
SW1, 22.34, 12.41, 0.00, MOMENTARYBUTTON, SPST_NO_SMD
SW2, 50.28, 12.41, 0.00, MOMENTARYBUTTON, SPST_NO_SMD
SW3, 36.31, 12.41, 0.00, MOMENTARYBUTTON, SPST_NO_SMD
SW4, 8.37, 12.41, 0.00, MOMENTARYBUTTON, SPST_NO_SMD
U$1, 71.12, 11.43, 0.00, FIDUCIAL, FIDUCIAL_1MM
U$3, 12.70, 49.53, 90.00, MCP4822-E/MS, SOP65P490X110-8N
U$4, 10.16, 7.62, 0.00, FIDUCIAL, FIDUCIAL_1MM
U$5, 73.66, 60.96, 0.00, FIDUCIAL, FIDUCIAL_1MM
U$6, 6.35, 62.23, 0.00, FIDUCIAL, FIDUCIAL_1MM
U1, 26.67, 35.56, 180.00, ATMEGA328PB-AU, QFP80P900X900X120-32N
U5, 24.00, 59.31, 0.00, AD8221ARMZ-RL, SOP65P490X110-8N
